Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep) 
 01/21  06:00:00,3.8,100.0,0.0,0.0,20.000000000000005,37.861833515771,20.0,23.0,100.0,47.62168502192195,623902.8245009852,0.0,623902.8245009852,2.0,623902.8245009851,0.0,500536.88272099688,0.0,623902.8245009852,0.0 
 01/21  06:05:00,3.8,100.0,0.0,0.0,20.0,37.862867336453998,20.0,23.0,100.0,47.62163522345557,613327.6723248576,0.0,613327.6723248576,2.0,613327.6723248577,0.0,498473.81779037936,0.0,613327.6723248576,0.0 
 01/21  06:10:00,3.8,100.0,0.0,0.0,20.0,37.86386916302581,20.0,23.0,100.0,47.6215693138101,612675.6843637398,0.0,612675.6843637398,2.0,612675.6843637398,0.0,497821.82982926149,0.0,612675.6843637398,0.0 
 01/21  06:15:00,3.8,100.0,0.0,0.0,20.0,37.864839985624218,20.0,23.0,100.0,47.62149461633551,612222.8135814089,0.0,612222.8135814089,2.0,612222.8135814089,0.0,497368.9590469306,0.0,612222.8135814089,0.0 
 01/21  06:20:00,3.8,100.0,0.0,0.0,19.999999999999998,37.86578300065067,20.0,23.0,100.0,47.6214067371218,1358152.705027761,0.0,1358152.705027761,2.0,1358152.7050277615,0.0,496948.18173587167,0.0,1358152.705027761,0.0 
 01/21  06:25:00,3.8,100.0,0.0,0.0,20.0,37.86669242718812,20.0,23.0,100.0,47.62129835300929,1679280.4321892369,0.0,1679280.4321892369,2.0,1679280.432189237,0.0,496485.2321032423,0.0,1679280.4321892369,0.0 
 01/21  06:30:00,3.8,100.0,0.0,0.0,20.0,37.867575876981067,20.0,23.0,100.0,47.621169464154238,610397.1597353073,0.0,610397.1597353073,2.0,610397.1597353075,0.0,495543.30520082908,0.0,610397.1597353073,0.0 
 01/21  06:35:00,3.8,100.0,0.0,0.0,20.0,37.868431986264997,20.0,23.0,100.0,47.621024464660049,609919.911847192,0.0,609919.911847192,2.0,609919.9118471921,0.0,495066.05731271379,0.0,609919.911847192,0.0 
 01/21  06:40:00,3.8,100.0,0.0,0.0,20.0,37.869261601159859,20.0,23.0,100.0,47.62086335469146,609625.6195385233,0.0,609625.6195385233,2.0,609625.6195385234,0.0,494771.76500404506,0.0,609625.6195385233,0.0 
 01/21  06:45:00,3.8,100.0,0.0,0.0,20.0,37.8700655416003,20.0,23.0,100.0,47.62068759905967,609354.7351246564,0.0,609354.7351246564,2.0,609354.7351246566,0.0,494500.8805901782,0.0,609354.7351246564,0.0 
